source,preprint_doi,published_doi,published_journal,preprint_title,preprint_authors,preprint_category,preprint_date,published_date,preprint_abstract
biorxiv,10.1101/2022.11.24.517810,10.1126/sciadv.adf9297,Science Advances,Multiplexed selectivity screening of anti-GPCR antibodies,"Dahl, L.; Kotliar, I.; Bendes, A.; Dodig-Crnkovic, T.; Fromm, S.; Elofsson, A.; Uhlen, M.; Sakmar, T. P.; Schwenk, J.",biochemistry,2022-11-24,2023-05-03,"G protein-coupled receptors (GPCRs) control critical cellular signaling pathways. Therapeutic agents, such as antibodies (Abs), are being developed to modulate GPCR signaling pathways. However, validating the selectivity of anti-GPCR Abs is challenging due to sequence similarities of individual receptors within GPCR subfamilies. To address this, we developed a multiplexed immunoassay to test >400 anti-GPCR Abs from the Human Protein Atlas targeting a customized library of 215 expressed and solubilized GPCRs representing all GPCR subfamilies. We found that ~61% of Abs were selective for their intended target, ~11% to bind off-target, and ~28% not to bind any GPCR. Antigens of on-target Abs were, on average, significantly longer, more disordered, and less likely to be buried in the interior of the GPCR protein than the other Abs. These results provide important insights into the immunogenicity of GPCR epitopes and form a basis for the design of therapeutic Abs and the detection of pathological auto-antibodies.

TEASERA multiplexed library-to-library selectivity analysis of 400 anti-GPCR antibodies within subfamilies of 200 solubilized receptors."
biorxiv,10.1101/2020.03.11.987602,10.1371/journal.pone.0230835,PLOS ONE,Role of syndecan-1 in the interaction between dendritic cells and T cells,"Kouwenberg, M.; Rops, A. L.; Bakker-van Bebber, M.; Diepeveen, L.; Götte, M.; Hilbrands, L.; van der Vlag, J.",immunology,2020-03-11,2020-07-23,"Syndecan-1 (Sdc-1) is a heparan sulfate proteoglycan that can bind cytokines and chemokines via its heparan sulfate side chains, and has immunomodulatory properties in experimental models. Sdc-1 expression has been reported on dendritic cells (DC) and T cells. The potential role of Sdc-1 in DC - T cell interaction has not been investigated yet. We postulate that Sdc-1 is involved in DC - T cell interaction and may influence graft survival in an allogeneic transplant model.

Sdc-1 expression on bone marrow-derived DC and T cells was analyzed by flow cytometry. Unstimulated and LPS stimulated Sdc-1 deficient DC were evaluated in vitro for phenotype and stimulatory capacity in mixed lymphocyte reaction. Sdc-1 deficient T cells were evaluated for proliferative capacity and differentiation in a mixed lymphocyte reaction and a proliferation assay. Allograft survival was evaluated in a fully MHC mismatched heterotopic heart transplant model, with either Sdc-1 deficient donors or recipients.

Sdc-1 is expressed on the cell surface of unstimulated and LPS matured DC. Sdc-1 deficiency had no effect on expression of co-stimulatory molecules, cytokine production or T cell stimulatory capacity as compared to WT DC. Sdc-1 expression was not detectable on WT T cells, although intracellular Sdc-1 expression could be demonstrated after ConA activation. Sdc-1 deficient T cells showed reduced proliferation upon DC or ConA stimulation and reduced IL-17 production upon ConA stimulation, compared to WT T cells. Sdc-1 deficiency of either allograft or recipient did not prolong allograft survival.

In conclusion, Sdc-1 is expressed on the cell surface of DC, where its absence does not affect DC phenotype or T cell stimulatory capacity. Sdc-1 is intracellularly expressed in ConA activated T cells. Sdc-1 deficiency in T cells results in a reduced proliferative response in vitro, as induced by DC and ConA. Sdc-1 deficiency in donor or recipient does not affect allograft survival."
medrxiv,10.1101/2024.09.02.24312084,10.1038/s44220-024-00334-x,Nature Mental Health,Neuroimaging Biomarkers in Addiction,"Ekhtiari, H.; Sangchooli, A.; Carmichael, O.; Moeller, G.; ODonnell, P.; Oquendo, M.; Paulus, M. P.; Pizzagalli, D. A.; Ramey, T.; Schacht, J.; Zare-Bidoky, M.; Childress, A. R.; Brady, K.",addiction medicine,2024-09-03,2024-11-18,"As a neurobiological process, addiction involves pathological patterns of engagement with substances and a range of behaviors with a chronic and relapsing course. Neuroimaging technologies assess brain activity, structure, physiology, and metabolism at scales ranging from neurotransmitter receptors to large-scale brain networks, providing unique windows into the core neural processes implicated in substance use disorders. Identified aberrations in the neural substrates of reward and salience processing, response inhibition, interoception, and executive functions with neuroimaging can inform the development of pharmacological, neuromodulatory, and psychotherapeutic interventions to modulate the disordered neurobiology. Based on our systematic search, 409 protocols registered on ClinicalTrials.gov include the use of one or more neuroimaging paradigms as an outcome measure in addiction, with the majority (N=268) employing functional magnetic resonance imaging (fMRI), followed by positron emission tomography (PET) (N=71), electroencephalography (EEG) (N=50), structural magnetic resonance imaging (MRI) (N=35) and magnetic resonance spectroscopy (MRS) (N=35). Furthermore, in a PubMed systematic review, we identified 61 meta-analyses including 30 fMRI, 22 structural MRI, 8 EEG, 7 PET, and 3 MRS meta-analyses suggesting potential biomarkers in addictions. These studies can facilitate the development of a range of biomarkers that may prove useful in the arsenal of addiction treatments in the coming years. There is evidence that these markers of large-scale brain structure and activity may indicate vulnerability or separate disease subtypes, predict response to treatment, or provide objective measures of treatment response or recovery. Neuroimaging biomarkers can also suggest novel targets for interventions. Closed or open loop interventions can integrate these biomarkers with neuromodulation in real-time or offline to personalize stimulation parameters and deliver the precise intervention. This review provides an overview of neuroimaging modalities in addiction, potential neuroimaging biomarkers, and their physiologic and clinical relevance. Future directions and challenges in bringing these putative biomarkers from the bench to the bedside are also discussed."
medrxiv,10.1101/2024.04.23.24306232,10.1002/mus.28230,Muscle & Nerve,Mitochondrial genome variants associated with Amyotrophic Lateral Sclerosis and their haplogroup distribution,"Briones, M. R.; Campos, J. H.; Ferreira, R. C.; Schneper, L.; Santos, I. M.; Antoneli, F.; NYCG ALS Consortium,  ; Broach, J. R.",genetic and genomic medicine,2024-04-25,2024-08-09,"Introduction/AimsAmyotrophic lateral sclerosis (ALS) may be familial or sporadic, and twin studies have revealed that even sporadic forms have a significant genetic component. Variants in 55 nuclear genes have been associated with ALS and although mitochondrial disfunction is observed in ALS, variants in mitochondrial genomes (mitogenomes) have not yet been tested for association with ALS.

MethodsHere we conducted a genome wide association study (GWAS) in mitogenomes of 1,965 ALS patients and 2,547 controls to test the hypothesis that mitogenome variants are associated with ALS.

ResultsWe identified 51 mitogenome variants with p-values <10-7of which 13 variants have odds ratios (OR)>1, in genes RNR1, ND1, CO1, CO3, ND5, ND6 and CYB, while 38 variants have OR<1 in genes RNR1, RNA2, ND1, ND2, CO2, ATP8, ATP6, CO3, ND3, ND4, ND5, ND6 and CYB. The frequencies of haplogroups H, U and L, the most frequent in our ALS dataset, are the same in different onset sites (bulbar, limb, spinal and axial). Also, intra-haplogroup GWAS revealed unique ALS-associated variants in haplogroups L and U.

DiscussionOur study shows that mitogenome variants (SNVs) are associated with ALS and suggests that these SNVs could be included in routine genetic testing for ALS and that mitochondrial replacement therapy would have a potential basis for ALS treatment."
biorxiv,10.1101/2024.04.29.591589,10.1038/s41467-025-57340-5,Nature Communications,DNA Calorimetric Force Spectroscopy at Single Base Pair Resolution,"Rissone, P.; Rico-Pasto, M.; Smith, S.; Ritort, F.",biophysics,2024-04-30,2025-03-19,"DNA hybridization is a fundamental reaction with wide-ranging applications in biotechnology. The nearest-neighbor (NN) model provides the most reliable description of the energetics of duplex formation. Most DNA thermodynamics studies have been done in melting experiments in bulk, of limited resolution due to ensemble averaging. In contrast, single-molecule methods have reached the maturity to derive DNA thermodynamics with unprecedented accuracy. We combine single-DNA mechanical unzipping experiments using a temperature jump optical trap with machine learning methods and derive the temperature-dependent DNA energy parameters of the NN model. In particular, we measure the previously unknown ten heat-capacity change parameters{Delta} Cp, relevant for thermodynamical predictions throughout the DNA stability range. Calorimetric force spectroscopy establishes a groundbreaking methodology to accurately study nucleic acids, from chemically modified DNA to RNA and DNA/RNA hybrid structures."
biorxiv,10.1101/2022.03.28.486155,10.1093/pnasnexus/pgac258,PNAS Nexus,Hip osteoarthritis: A novel network analysis of subchondral trabecular bone structures,"Dorraki, M.; Muratovic, D.; Fouladzadeh, A.; Verjans, J. W.; Allison, A.; Findlay, D. M.; Abbott, D.",biophysics,2022-03-29,2022-11-21,"Hip osteoarthritis (HOA) is a degenerative joint disease that leads to the progressive destruction of subchondral bone and cartilage at the hip joint. Development of effective treatments for HOA remains an open problem, primarily due to the lack of knowledge of its pathogenesis and a typically late-stage diagnosis. We describe a novel network analysis methodology for micro-computed tomography (micro-CT) images of human trabecular bone. We explored differences between the trabecular bone microstructure of femoral heads with and without HOA. Large-scale automated extraction of the network formed by trabecular bone revealed significant network properties not previously reported for bone. Profound differences were discovered, particularly in the proximal third of the femoral head, where HOA networks demonstrated elevated numbers of edges, vertices and graph components. When further differentiating healthy joint and HOA networks, the latter showed fewer small-world network properties, due to decreased clustering coefficient and increased characteristic path length. Furthermore, we found that HOA networks had reduced length of edges, indicating the formation of compressed trabecular structures. In order to assess our network approach, we developed a deep learning model for classifying HOA and control cases, and we fed it with two separate inputs: (i) micro-CT images of the trabecular bone, and (ii) the network extracted from them. The model with plain micro-CT images achieves 74.63% overall accuracy while the trained model with extracted networks attains 96.47% accuracy. We anticipate our findings to be a starting point for a novel description of bone microstructure in HOA, by considering the phenomenon from a graph theory viewpoint."
biorxiv,10.1101/2023.09.07.556710,10.1111/acel.14083,Aging Cell,Rapid and synchronous chemical induction of replicative-like senescence via a small molecule inhibitor,"Palikyras, S.; Sofiadis, K.; Stavropoulou, A.; Danieli-Mackay, A.; Varamogianni-Mamatsi, V.; Hoerl, D.; Nasiscionyte, S.; Zhu, Y.; Josipovic, N.; Papadakis, A.; Zirkel, A.; O'Connell, A.; Loughran, G.; Keane, J.; Michel, A.; Wagner, W.; Beyer, A.; Harz, H.; Leonhardt, H.; Lukinavicius, G.; Nikolaou, C.; Papantonis, A.",genomics,2023-09-12,2024-01-09,"Cellular senescence is now acknowledged as a key contributor to organismal ageing and late-life disease. Although popular, the study of senescence in vitro can be complicated by the prolonged and asynchronous timing of cells committing to it and its paracrine effects. To address these issues, we repurposed the small molecule inhibitor inflachromene (ICM) to induce senescence to human primary cells. Within six days of treatment with ICM, senescence hallmarks, including the nuclear eviction of HMGB1 and -B2, are uniformly induced across IMR90 cell populations. By generating and comparing various high throughput datasets from ICM-induced and replicative senescence, we uncovered significant similarity of the two states. Notably though, ICM suppresses the proinflammatory secretome associated with senescence, thus alleviating most paracrine effects. In summary, ICM induces a senescence-like phenotype rapidly and synchronously thereby allowing the study of its core regulatory program without any confounding heterogeneity."
biorxiv,10.1101/2024.10.10.617531,10.1103/prxlife.3.013014,PRX Life,Loop-extruder mediated rigidity can globally order bacterial chromosomes,"Harju, J.; Armbruster, T.; Broedersz, C. P.",biophysics,2024-10-10,2025-03-07,"Many bacterial chromosomes show large-scale linear order, so that a locuss genomic position correlates with its position along the cell. In the model organism E. coli, for instance, the left and right arms of the circular chromosome lie in different cell halves. However, no mechanisms that anchor loci to the cell poles have been identified, and it remains unknown how this so-called ""left-ori-right"" organization arises. Here, we construct a biophysical model that explains how global chromosome order could be established via an active loop extrusion mechanism. Our model assumes that the motor protein complex MukBEF extrudes loops on most of the E. coli chromosome, but is excluded from the terminal region by the protein MatP, giving rise to a partially looped ring polymer structure. Using 3D simulations of loop extrusion on a chromosome, we find that our model can display stable left-ori-right chromosomal order in a parameter regime consistent with prior experiments. We explain this behavior by considering the effect of loop extrusion on the bending rigidity of the chromosome, and derive necessary conditions for left-ori-right order to emerge. Finally, we develop a phase diagram for the system, where order emerges when the loop size is large enough and the looped region is compacted enough. Our work provides a mechanistic explanation for how loop-extruders can establish linear chromosome order in E. coli, and how this order leads to accurate gene positioning within the cell, without locus anchoring."
medrxiv,10.1101/2021.12.15.21267852,10.1186/s13059-022-02837-1,Genome Biology,"Implicating genes, pleiotropy and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis","Kanoni, S.; Graham, S. E.; Wang, Y.; Surakka, I.; Ramdas, S.; Zhu, X.; Clarke, S. L.; Bhatti, K. F.; Vedantam, S.; Winkler, T. W.; Locke, A. E.; Marouli, E.; Zajac, G. J.; Wu, K.-H. H.; Ntalla, I.; Hui, Q.; Klarin, D.; Hilliard, A. T.; Wang, Z.; Xue, C.; Thorleifsson, G.; Helgadottir, A.; Gudbjartsson, D. F.; Holm, H.; Olafsson, I.; Hwang, M. Y.; Han, S.; Akiyama, M.; Sakaue, S.; Terao, C.; Kanai, M.; Zhou, W.; Brumpton, B. M.; Rasheed, H.; Havulinna, A. S.; Veturi, Y.; Pacheco, J. A.; Rosenthal, E. A.; Lingren, T.; Feng, Q.; Kullo, I. J.; Narita, A.; Takayama, J.; Martin, H. C.; Hunt, K. A.;",genetic and genomic medicine,2021-12-16,2022-12-27,"Genetic variants within nearly 1,000 loci are known to contribute to modulation of blood lipid levels. However, the biological pathways underlying these associations are frequently unknown, limiting understanding of these findings and hindering downstream translational efforts such as drug target discovery. To expand our understanding of the underlying biological pathways and mechanisms controlling blood lipid levels, we leverage a large multi-ancestry meta-analysis (N=1,654,960) of blood lipids to prioritize putative causal genes for 2,286 lipid associations by combining six gene prediction methods and assigning a confidence score. We assign, most confidently, 118 candidate causal genes and identify potential drug targets including bona-fide (PCSK9) and putative (PNLIP and ARF6) genes. Using phenome-wide association (PheWAS) scans, we identify relationships of genetically-predicted lipid levels to other diseases and conditions. We confirm known pleiotropic associations with cardiovascular phenotypes and determine novel associations, notably with cholelithiasis risk. We perform sex-stratified GWAS meta-analysis of lipid levels and show that 3-5% of autosomal lipid-associated loci demonstrate sex-biased effects. Finally, we report 21 novel lipid loci identified on the X chromosome. Many of the sex-biased autosomal and X chromosome lipid loci show pleiotropic associations with sex hormones, emphasizing the role of hormone regulation in lipid metabolism. Taken together, our findings provide insights into the mechanisms through which associated variants lead to altered lipid levels and potentially cardiovascular disease risk."
biorxiv,10.1101/2021.06.30.450484,10.3390/brainsci11091240,Brain Sciences,Epigenetic mediation of AKT1 rs1130233 s effect on delta-9-tetrahydrocannabinol-induced medial temporal function during fear processing,"Blest-Hopley, G.; Colizzi, M.; Prata, D.; Giampietro, V.; Brammer, M.; McGuire, P.; Bhattacharyya, S.",neuroscience,2021-07-01,2021-09-19,"High doses of delta-9-tetrahydrocannabinol (THC), the main psychoactive component of cannabis, have been shown to have anxiogenic effects. Also, THC effects have been shown to be modulated by genotype, including the single nucleotide polymorphism (SNP) rs1130233 at the protein kinase AKT1 gene, a key component of the dopamine signaling cascade. As such, it is likely that epigenetic methylation around this SNP may affect AKT gene expression, which may in turn impact on the acute effects of THC on brain function. We investigated the genetic (AKT1 rs1130233) and epigenetic modulation of brain function during fear processing in a 2-session, double-blind, cross-over, randomized placebo-controlled THC administration, in 36 healthy males. Fear processing was assessed using an emotion (fear processing) paradigm, under functional magnetic resonance imaging (fMRI). Complete genetic and fMRI data was available for 34 participants. THC caused an increase in anxiety and transient psychotomimetic symptoms and para-hippocampal gyrus/ amygdala activation. Number of A alleles at the AKT1 rs1130233 SNP, and percentage methylation at the CpG11-12 site, were independently associated with a greater effect of THC on activation in a network of brain regions including left and right parahippocampal gyri, respectively. AKT1 rs1130233 moderation of the THC effect on left parahippocampal activation persisted after covarying for methylation percentage, and was partially mediated in sections of the left parahippocampal gyrus/ hippocampus by methylation percentage. These results may offer an example of how genetic and epigenetic variations influence the psychotomimetic and neurofunctional effects of THC."
biorxiv,10.1101/2022.06.26.497665,10.32794/mr112500153,Melatonin Research,Spatio-temporal dynamics of nuclear CREB1: what does it mean?,"Farias Altamirano, L. E.; Vasquez, E.; Freites, C. L.; Ibanez, J. E.; Guido, M. E.; Munoz, E. M.",neuroscience,2022-06-29,2023-09-30,"In the mammalian pineal gland (PG), cyclic AMP responsive element-binding protein 1 (CREB1) participates in the nocturnal melatonin synthesis that rhythmically modulates physiology and behavior. Phosphorylation of CREB1 present in pinealocyte nuclei is one of the key regulatory steps that drives pineal transcription. The spatio-temporal dynamics of CREB1 itself within PG cell types have not yet been documented. In this study we analyzed total CREB1 via Western blot, and the dynamism of CREB1 nuclear distribution in individual rat pinealocytes using fluorescence immunohistochemistry followed by confocal laser-scanning microscopy and quantitative analysis. Total CREB1 levels remained constant in the PG throughout the light:dark cycle. The distribution pattern of nuclear CREB1 did vary, however, among different PG cells. Pinealocytes emerged as having discrete CREB1 domains within their nucleoplasm that were especially distinct. The number, size, and location of CREB1 foci fluctuated among pinealocytes, within the same PG and among Zeitgeber times. A significantly larger dispersion of CREB1-immunoreactive nuclear sites was found at night. This was not accompanied by changes in the overall transcription activity, which was mostly conserved between the light and dark phases, as shown by the expression of a particular phosphorylated form of the RNA polymerase II (RNAPII-pSer5CTD). Suppression of the nocturnal norepinephrine pulse by chronic bilateral superior cervical ganglionectomy increased CREB1 dispersion in pinealocyte nuclei, as compared to sham-derived cells. In addition, differences in CREB1 distribution were found between sham-operated and non-operated rats at early night. Together, these data suggest that in mature pinealocytes nuclear CREB1 is subjected to a dynamic spatio-temporal distribution. Further studies are necessary to elucidate the underlying mechanisms, including the role of chromatin and interchromatin elements, and to understand the impact of CREB1 reorganization in the pineal transcriptome."
biorxiv,10.1101/334854,10.1111/2041-210x.13256,Methods in Ecology and Evolution,Applications for deep learning in ecology,"Christin, S.; Hervet, E.; Lecomte, N.",ecology,2018-05-30,2019-07-05,"A lot of hype has recently been generated around deep learning, a group of artificial intelligence approaches able to break accuracy records in pattern recognition. Over the course of just a few years, deep learning revolutionized several research fields such as bioinformatics or medicine. Yet such a surge of tools and knowledge is still in its infancy in ecology despite the ever-growing size and the complexity of ecological datasets. Here we performed a literature review of deep learning implementations in ecology to identify its benefits in most ecological disciplines, even in applied ecology, up to decision makers and conservationists alike. We also provide guidelines on useful resources and recommendations for ecologists to start adding deep learning to their toolkit. At a time when automatic monitoring of populations and ecosystems generates a vast amount of data that cannot be processed by humans anymore, deep learning could become a necessity in ecology."
biorxiv,10.1101/2024.08.06.606659,10.1002/smll.202406671,Small,Hybrid Protocells based on Coacervate-Templated Fatty Acid Vesicles combine Improved Membrane Stability with Functional Interior Protocytoplasm,"Lee, J.; Cakmak, F. P.; Booth, R.; Keating, C. D.",biophysics,2024-08-08,2024-10-15,"Prebiotically-plausible compartmentalization mechanisms include membrane vesicles formed by amphiphile self-assembly and coacervate droplets formed by liquid-liquid phase separation. Both types of structures form spontaneously and can be related to cellular compartmentalization motifs in todays living cells. As prebiotic compartments, they have complementary capabilities, with coacervates offering excellent solute accumulation and membranes providing superior boundaries. Herein, we describe protocell models constructed by spontaneous encapsulation of coacervate droplets by mixed fatty acid/phospholipid and by purely fatty acid membranes. Coacervate-supported membranes formed over a range of coacervate and lipid compositions, with membrane properties impacted by charge-charge interactions between coacervates and membranes. Vesicles formed by coacervate-templated membrane assembly exhibited profoundly different permeability than traditional fatty acid or blended fatty acid/phospholipid membranes without coacervate interiors, particularly in the presence of Mg2+ ions. While fatty acid and blended membrane vesicles were disrupted by addition of 25 mM MgCl2, the corresponding coacervate-supported membranes remained intact and impermeable to externally-added solutes even in the presence of MgCl2. With the more robust membrane, fluorescein diacetate (FDA) hydrolysis, which is commonly used for cell viability assays, could be performed inside the protocell model due to the simple diffusion of FDA and then following with the coacervate-mediated abiotic hydrolysis to fluorescein."
medrxiv,10.1101/2021.01.12.21249477,10.1136/openhrt-2020-001479,Open Heart,Prognostic significance of BMI after PCI treatment in ST-elevation myocardial infarction A cohort study from the Swedish Coronary Angiography and Angioplasty Registry,"Jamaly, S.; karason, K.; Redfors, B.; carlsson, l.; Omerovic, E.",cardiovascular medicine,2021-01-20,2021-02-15,"BackgroundObesity along with clustering of cardiovascular risk factors is a promoter for coronary artery disease. On the other hand, a high BMI appears to exert a protective effect with respect to outcomes after a coronary artery event, termed the obesity paradox.

MethodsThe Swedish Coronary and Angiography and Angioplasty registry (SCAAR) collects information on all patients who undergo percutaneous coronary intervention (PCI) for ST-elevation myocardial infarction (STEMI) in Sweden along with demographic- and procedure-related data. We studied the predictability of four categories of BMI for 1-year all-cause mortality in people with STEMI undergoing PCI.

ResultsAmong 25,384 patients, mean (SD) age 67.7 (12.1) years and 71.1% male, who underwent PCI for STEMI a total of 5,529 (21.8%) died within one year. Using normal-weight (BMI 18.5-24.9 kg/m2) as a reference, subjects with obesity (BMI [&ge;]30 kg/m2) had a low 1-year all-cause mortality risk in unadjusted analysis, HR 0.59 (95% CI 0.53- 0.67). However, after adjustment for age, sex and other covariates the difference became non-significant, HR 0.88 (95% CI: 0.75-1.02). Patients with overweight (BMI 25.0-29.9 kg/m2) had the lowest 1-year mortality risk in analysis adjusted for age, sex and other covariates, HR 0.87 (95% CI 0.79-0.95), whereas those with underweight (BMI <18.5 kg/m2) had the highest mortality in both unadjusted HR 2.22 (95% CI 1.69-2.92) and adjusted analysis, HR 1.72 (95% CI: 1.31-2.26).

ConclusionThe protective effect of obesity with respect to 1-year mortality after coronary intervention became non-significant after adjusting for age, sex and relevant co-variates. Instead, overweight people displayed the lowest risk and underweight individuals the highest risk for adjusted all-cause mortality"
biorxiv,10.1101/2024.08.10.607452,10.1038/s41598-024-71669-9,Scientific Reports,Co-localized SNPs Affecting the Expression of Taste Perception Genes are linked to Alzheimer's Disease,"Joseph, P. V.; Abbas, M.; Goodney, G.; Diallo, A.; Gaye, A.",genomics,2024-08-10,2024-09-16,"BackgroundWhile previous research has shown the potential links between taste perception pathways and brain-related conditions, the area involving Alzheimers disease remains incompletely understood. Taste perception involves neurotransmitter signaling, including serotonin, glutamate, and dopamine. Disruptions in these pathways are implicated in neurodegenerative diseases. The integration of olfactory and taste signals in flavor perception may impact brain health, evident in olfactory dysfunction as an early symptom in neurodegenerative conditions. Shared immune response and inflammatory pathways may contribute to the association between altered taste perception and conditions like neurodegeneration, present in Alzheimers disease.

MethodsThis study consists of an exploration of expression-quantitative trait loci (eQTL), utilizing whole-blood transcriptome profiles, of 28 taste perception genes, from a combined cohort of 475 African American subjects. This comprehensive dataset was subsequently intersected with single-nucleotide polymorphisms (SNPs) identified in Genome-Wide Association Studies (GWAS) of Alzheimers Disease (AD). Finally, the investigation delved into assessing the association between eQTLs reported in GWAS of AD and the profiles of 741 proteins from the Olink Neurological Panel.

ResultsThe eQTL analysis unveiled 3,547 statistically significant SNP-Gene associations, involving 412 distinct SNPs that spanned all 28 taste genes. In 17 GWAS studies encompassing various traits, a total of 14 SNPs associated with 12 genes were identified, with three SNPs consistently linked to Alzheimers disease across four GWAS studies. All three SNPs demonstrated significant associations with the down-regulation of TAS2R41, and two of them were additionally associated with the down-regulation of TAS2R60. In the subsequent pQTL analysis, two of the SNPs linked to TAS2R41 and TAS2R60 genes (rs117771145 and rs10228407) were correlated with the upregulation of two proteins, namely EPHB6 and ADGRB3.

ConclusionsOur investigation introduces a new perspective to the understanding of Alzheimers disease, emphasizing the significance of bitter taste receptor genes in its pathogenesis. These discoveries set the stage for subsequent research to delve into these receptors as promising avenues for both intervention and diagnosis. Nevertheless, the translation of these genetic insights into clinical practice requires a more profound understanding of the implicated pathways and their pertinence to the diseases progression across diverse populations."
biorxiv,10.1101/2025.02.09.635277,10.3389/fimmu.2025.1605170,Frontiers in Immunology,Comprehensive analysis of αβT-cell receptor repertoires reveals signatures of thymic selection,"Luppov, D.; Vlasova, E.; Chudakov, D.; Shugay, M.",immunology,2025-02-10,2025-09-19,"Thymic selection is a multi-stage process that establishes a T-cell immunity that is efficient in fighting diverse foreign pathogens, while not being self-reactive. During the process, T-cell receptor (TCR) and {beta} chains are rearranged to form a highly diverse set of heterodimers that are selected based on their affinity to peptides presented by major histocompatibility molecules (MHC) in the thymus. Here we employ high-throughput TCR sequencing data, theoretical model of TCR rearrangement and dedicated statistical methods to infer how the selection process affects human TCR repertoire on different scales. On a global scale, our results indicate differences in V(D)J gene usage, complementarity determining region 3 (CDR3) amino acid composition, CDR3 physicochemical properties, k-mer composition and differences in loop structure induced by the selection process. On a local scale, we were able to determine enriched TCR motifs and ""holes"" in repertoire induced by positive and negative selection and characterize their features. Finally, we demonstrated how TCR sequence composition affects lineage commitment via thymic selection and highlighted the effect of individual MHC haplotype. Our results can aid in identification of potentially self-reactive TCRs in donor repertoires in autoimmunity and immunotherapy studies.

Graphical abstract (Figure 0)Study overview. A. Datasets used in the study and the way TCR sequences were analyzed. B. Main directions in which thymic selection shapes TCR repertoire. Selection results in TCR-CDR3 losing positively charged and large amino-acids while increasing its flexibility. Unlike CDR3 of the TCR chain, CDR3{beta} hydrophobicity is also increased by selection. CDR3s carrying Cysteines and glycosylation sites are unlikely to pass the selection. In contrast, CDR3 carrying poly-Glycine regions are more likely to be selected for both chains. T-cells committed to CD8+ lineage were more likely to feature bulged CDR3s compared to CD4+. C. CDR3s enriched after thymic selection guide lineage commitment according to single-cell RNA sequencing data analysis, e.g. the MAIT cells and CD8+ phenotypes. D. Enrichment and depletion of certain TCR motifs pinpoint fine-structure of post-selection repertoires, as inferred by sequence neighborhood analysis. E. Comparative analysis of enriched and depleted TCR clusters in monozygotic twins revealed that the selection process is shaped by HLA haplotype.



O_FIG O_LINKSMALLFIG WIDTH=200 HEIGHT=195 SRC=""FIGDIR/small/635277v2_ufig1.gif"" ALT=""Figure 1"">
View larger version (44K):
org.highwire.dtl.DTLVardef@148f9f1org.highwire.dtl.DTLVardef@117858org.highwire.dtl.DTLVardef@f3f837org.highwire.dtl.DTLVardef@12cf2c1_HPS_FORMAT_FIGEXP  M_FIG C_FIG"
